outcome,ate_ipw,ate_linear_regression,ate_stratification,ate_matching,ate_dr,ate_dr_se,ate_dr_p
total_reward,-0.003578767073312521,-0.003354939583957721,-0.0033105588760934702,-0.002394308943089431,-0.002680822000360486,0.0016704611563578096,0.10852913679748433
sr_change,-4.570076354618483e-05,-4.0620461325402345e-05,-1.8899884984099878e-05,-5.487804878048748e-05,-2.564551795707901e-05,0.00010224384307308139,0.8019478541762561
hp_change,-14.736417657995755,-14.396387337164583,-16.26494170563749,-18.97020325203252,-17.58740480936527,9.921601684755943,0.07628876687071551
avg_reward,-0.002735202711637687,-0.0025117875950268634,-0.002437795901450426,-0.0015186314363143623,-0.0018223581495789704,0.001654190871652047,0.2706089256141857
