timestamp,episode,raw_reward,shaped_reward,episode_length,died,level_ups,max_health,items_collected,unique_positions,exploration_reward,survival_time,actions_taken
2025-10-14T14:26:18.898886,0,81.84000000000077,65.24780000000045,2770,1,14,74,0,192,1.9200000000000015,0,2770
2025-10-14T14:26:22.228172,1,40.99999999999934,28.557899999999485,876,1,12,73,0,123,1.2300000000000009,0,876
2025-10-14T14:26:27.922727,2,-10.219999999999827,-25.78199999999982,1400,1,13,51,0,79,0.7900000000000005,0,1400
2025-10-14T14:26:32.195252,3,21.92999999999913,6.598199999999393,1154,1,13,67,0,27,0.2700000000000001,0,1154
2025-10-14T14:26:37.033653,4,58.300000000000715,41.827200000000474,1322,1,14,76,0,115,1.1500000000000008,0,1322
2025-10-14T14:26:42.490225,5,42.66000000000049,27.025,1353,1,14,75,0,114,1.1400000000000008,0,1353
2025-10-14T14:26:53.186225,6,-5.199999999999812,-25.57319999999984,2779,1,18,59,0,144,1.440000000000001,0,2779
2025-10-14T14:26:56.912558,7,19.93999999999964,3.587899999999941,1024,1,14,21,0,46,0.46000000000000024,0,1024
2025-10-14T14:27:06.132333,8,73.00000000000057,54.40679999999998,2398,1,16,57,0,208,2.0799999999999996,0,2398
2025-10-14T14:27:10.948337,9,-8.549999999999862,-23.309099999999855,1250,1,13,73,0,70,0.7000000000000004,0,1250
2025-10-14T14:27:12.976380,10,29.269999999999467,16.05509999999967,529,1,12,68,0,77,0.7700000000000005,0,529
2025-10-14T14:27:19.762285,11,12.020000000000211,-4.843099999999772,1692,1,15,27,0,98,0.9800000000000006,0,1692
2025-10-14T14:27:20.689003,12,9.260000000000026,-5.522899999999966,244,1,14,62,0,43,0.4300000000000002,0,244
2025-10-14T14:27:26.032917,13,62.0699999999992,50.00109999999876,1409,1,11,62,0,129,1.290000000000001,0,1409
2025-10-14T14:27:35.858289,14,86.35999999999461,69.18589999999615,2556,1,14,59,0,167,1.6700000000000013,0,2556
2025-10-14T14:27:38.936875,15,52.15000000000083,37.595500000000534,722,1,14,18,0,85,0.8500000000000005,0,722
2025-10-14T14:27:44.686776,16,48.39000000000017,30.04280000000015,1510,1,16,73,0,119,1.1900000000000008,0,1510
2025-10-14T14:27:55.581416,17,-8.229999999999682,-22.063899999999688,2809,1,11,74,0,130,1.300000000000001,0,2809
2025-10-14T14:28:06.626058,18,5.680000000000115,-12.774499999999668,2886,1,14,73,0,98,0.9800000000000006,0,2886
2025-10-14T14:28:20.117057,19,45.59000000000227,26.720100000000805,3518,1,15,36,0,135,1.350000000000001,0,3518
2025-10-14T14:28:30.111134,20,85.78999999999417,67.91509999999683,2566,1,15,59,0,191,1.9100000000000015,0,2566
2025-10-14T14:28:43.050628,21,-23.560000000000883,-40.51190000000091,3351,1,12,59,0,61,0.6100000000000003,0,3351
2025-10-14T14:28:43.947405,22,2.1700000000000017,-10.136800000000001,249,1,11,67,0,36,0.36000000000000015,0,249
2025-10-14T14:28:50.135438,23,-12.619999999999775,-33.779099999999744,1619,1,17,25,0,93,0.9300000000000006,0,1619
2025-10-14T14:28:59.974375,24,32.83000000000069,13.660299999999815,2567,1,15,43,0,142,1.420000000000001,0,2567
2025-10-14T14:29:04.228213,25,80.61999999999809,68.74299999999886,1005,1,10,57,0,105,1.0500000000000007,0,1005
2025-10-14T14:29:07.209139,26,68.86999999999905,57.50589999999936,803,1,11,74,0,116,1.1600000000000008,0,803
2025-10-14T14:29:08.839709,27,-2.9799999999999804,-17.649799999999992,447,1,14,32,0,51,0.5100000000000002,0,447
2025-10-14T14:29:22.367676,28,67.53999999999172,52.95689999999501,3512,1,11,72,0,206,2.06,0,3512
2025-10-14T14:29:25.018361,29,42.990000000000066,28.158999999999953,733,1,14,76,0,99,0.9900000000000007,0,733
2025-10-14T14:29:27.745516,30,-4.319999999999952,-18.161199999999955,578,1,12,65,0,18,0.18000000000000002,0,578
2025-10-14T14:29:30.090627,31,52.63000000000066,33.72730000000038,631,1,18,58,0,70,0.7000000000000004,0,631
2025-10-14T14:29:33.598202,32,45.08999999999953,32.47219999999969,967,1,11,39,0,92,0.9200000000000006,0,967
2025-10-14T14:29:35.921077,33,17.639999999999734,4.288099999999819,612,1,12,51,0,58,0.5800000000000003,0,612
2025-10-14T14:29:40.196050,34,83.86999999999904,69.29889999999943,1008,1,13,70,0,76,0.7600000000000005,0,1008
2025-10-14T14:29:47.786121,35,51.1799999999999,33.44309999999913,2042,1,13,66,0,135,1.350000000000001,0,2042
2025-10-14T14:29:50.748874,36,46.029999999999966,32.796799999999976,724,1,12,75,0,54,0.5400000000000003,0,724
2025-10-14T14:29:51.606717,37,4.860000000000008,-9.968699999999993,161,1,14,51,0,27,0.2700000000000001,0,161
2025-10-14T14:30:06.574625,38,10.750000000000558,-11.250699999999355,3884,1,15,76,0,126,1.260000000000001,0,3884
2025-10-14T14:30:11.008576,39,-2.609999999999861,-14.606299999999866,1213,1,11,61,0,124,1.2400000000000009,0,1213
2025-10-14T14:30:21.280423,40,-2.629999999999723,-17.754899999999726,2640,1,12,60,0,163,1.6300000000000012,0,2640
2025-10-14T14:30:26.076646,41,-8.67999999999986,-26.775799999999837,1219,1,16,27,0,73,0.7300000000000004,0,1219
2025-10-14T14:30:27.151550,42,-1.7200000000000013,-15.777000000000001,225,1,13,34,0,29,0.2900000000000001,0,225
2025-10-14T14:30:37.727059,43,28.029999999999514,13.314199999998856,2783,1,12,40,0,159,1.5900000000000012,0,2783
2025-10-14T14:30:56.775855,44,4.599999999998056,-19.33870000000069,4900,1,14,29,0,86,0.8600000000000005,0,4900
